Group_Combined,Group,Subgroup,Year,Metric,Value
College of Liberal Arts & Social Sciences — Political Science,College of Liberal Arts & Social Sciences,Political Science,2019,Full-Time Teaching Faculty (N),7
College of Liberal Arts & Social Sciences — Political Science,College of Liberal Arts & Social Sciences,Political Science,2020,Full-Time Teaching Faculty (N),7
College of Liberal Arts & Social Sciences — Political Science,College of Liberal Arts & Social Sciences,Political Science,2021,Full-Time Teaching Faculty (N),7
College of Liberal Arts & Social Sciences — Political Science,College of Liberal Arts & Social Sciences,Political Science,2022,Full-Time Teaching Faculty (N),7
College of Liberal Arts & Social Sciences — Political Science,College of Liberal Arts & Social Sciences,Political Science,2023,Full-Time Teaching Faculty (N),7
College of Liberal Arts & Social Sciences — Political Science,College of Liberal Arts & Social Sciences,Political Science,2024,Full-Time Teaching Faculty (N),7
College of Liberal Arts & Social Sciences — Psychological Science,College of Liberal Arts & Social Sciences,Psychological Science,2019,Full-Time Teaching Faculty (N),20
College of Liberal Arts & Social Sciences — Psychological Science,College of Liberal Arts & Social Sciences,Psychological Science,2020,Full-Time Teaching Faculty (N),20
College of Liberal Arts & Social Sciences — Psychological Science,College of Liberal Arts & Social Sciences,Psychological Science,2021,Full-Time Teaching Faculty (N),19
College of Liberal Arts & Social Sciences — Psychological Science,College of Liberal Arts & Social Sciences,Psychological Science,2022,Full-Time Teaching Faculty (N),20
College of Liberal Arts & Social Sciences — Psychological Science,College of Liberal Arts & Social Sciences,Psychological Science,2023,Full-Time Teaching Faculty (N),21
College of Liberal Arts & Social Sciences — Psychological Science,College of Liberal Arts & Social Sciences,Psychological Science,2024,Full-Time Teaching Faculty (N),20
College of Liberal Arts & Social Sciences — Sociology,College of Liberal Arts & Social Sciences,Sociology,2019,Full-Time Teaching Faculty (N),10
College of Liberal Arts & Social Sciences — Sociology,College of Liberal Arts & Social Sciences,Sociology,2020,Full-Time Teaching Faculty (N),10
College of Liberal Arts & Social Sciences — Sociology,College of Liberal Arts & Social Sciences,Sociology,2021,Full-Time Teaching Faculty (N),10
College of Liberal Arts & Social Sciences — Sociology,College of Liberal Arts & Social Sciences,Sociology,2022,Full-Time Teaching Faculty (N),8
College of Liberal Arts & Social Sciences — Sociology,College of Liberal Arts & Social Sciences,Sociology,2023,Full-Time Teaching Faculty (N),9
College of Liberal Arts & Social Sciences — Sociology,College of Liberal Arts & Social Sciences,Sociology,2024,Full-Time Teaching Faculty (N),9
College of Liberal Arts & Social Sciences — Theatre,College of Liberal Arts & Social Sciences,Theatre,2019,Full-Time Teaching Faculty (N),5
College of Liberal Arts & Social Sciences — Theatre,College of Liberal Arts & Social Sciences,Theatre,2020,Full-Time Teaching Faculty (N),4
College of Liberal Arts & Social Sciences — Theatre,College of Liberal Arts & Social Sciences,Theatre,2021,Full-Time Teaching Faculty (N),4
College of Liberal Arts & Social Sciences — Theatre,College of Liberal Arts & Social Sciences,Theatre,2022,Full-Time Teaching Faculty (N),5
College of Liberal Arts & Social Sciences — Theatre,College of Liberal Arts & Social Sciences,Theatre,2023,Full-Time Teaching Faculty (N),6
College of Liberal Arts & Social Sciences — Theatre,College of Liberal Arts & Social Sciences,Theatre,2024,Full-Time Teaching Faculty (N),6
"College of Liberal Arts & Social Sciences — World Languages, Literatures, & Cultures",College of Liberal Arts & Social Sciences,"World Languages, Literatures, & Cultures",2019,Full-Time Teaching Faculty (N),11
"College of Liberal Arts & Social Sciences — World Languages, Literatures, & Cultures",College of Liberal Arts & Social Sciences,"World Languages, Literatures, & Cultures",2020,Full-Time Teaching Faculty (N),10
"College of Liberal Arts & Social Sciences — World Languages, Literatures, & Cultures",College of Liberal Arts & Social Sciences,"World Languages, Literatures, & Cultures",2021,Full-Time Teaching Faculty (N),9
"College of Liberal Arts & Social Sciences — World Languages, Literatures, & Cultures",College of Liberal Arts & Social Sciences,"World Languages, Literatures, & Cultures",2022,Full-Time Teaching Faculty (N),8
"College of Liberal Arts & Social Sciences — World Languages, Literatures, & Cultures",College of Liberal Arts & Social Sciences,"World Languages, Literatures, & Cultures",2023,Full-Time Teaching Faculty (N),8
"College of Liberal Arts & Social Sciences — World Languages, Literatures, & Cultures",College of Liberal Arts & Social Sciences,"World Languages, Literatures, & Cultures",2024,Full-Time Teaching Faculty (N),8
College of Liberal Arts & Social Sciences — Total,College of Liberal Arts & Social Sciences,Total,2019,Full-Time Teaching Faculty (N),184
College of Liberal Arts & Social Sciences — Total,College of Liberal Arts & Social Sciences,Total,2020,Full-Time Teaching Faculty (N),177
College of Liberal Arts & Social Sciences — Total,College of Liberal Arts & Social Sciences,Total,2021,Full-Time Teaching Faculty (N),169
College of Liberal Arts & Social Sciences — Total,College of Liberal Arts & Social Sciences,Total,2022,Full-Time Teaching Faculty (N),158
College of Liberal Arts & Social Sciences — Total,College of Liberal Arts & Social Sciences,Total,2023,Full-Time Teaching Faculty (N),167
College of Liberal Arts & Social Sciences — Total,College of Liberal Arts & Social Sciences,Total,2024,Full-Time Teaching Faculty (N),163
College of Liberal Arts & Social Sciences — New fin Fall 2023: Departments Anthropology & Geography merged.,College of Liberal Arts & Social Sciences,New fin Fall 2023: Departments Anthropology & Geography merged.,2019,Full-Time Teaching Faculty (N),
College of Liberal Arts & Social Sciences — New fin Fall 2023: Departments Anthropology & Geography merged.,College of Liberal Arts & Social Sciences,New fin Fall 2023: Departments Anthropology & Geography merged.,2020,Full-Time Teaching Faculty (N),
College of Liberal Arts & Social Sciences — New fin Fall 2023: Departments Anthropology & Geography merged.,College of Liberal Arts & Social Sciences,New fin Fall 2023: Departments Anthropology & Geography merged.,2021,Full-Time Teaching Faculty (N),
College of Liberal Arts & Social Sciences — New fin Fall 2023: Departments Anthropology & Geography merged.,College of Liberal Arts & Social Sciences,New fin Fall 2023: Departments Anthropology & Geography merged.,2022,Full-Time Teaching Faculty (N),
College of Liberal Arts & Social Sciences — New fin Fall 2023: Departments Anthropology & Geography merged.,College of Liberal Arts & Social Sciences,New fin Fall 2023: Departments Anthropology & Geography merged.,2023,Full-Time Teaching Faculty (N),
College of Liberal Arts & Social Sciences — New fin Fall 2023: Departments Anthropology & Geography merged.,College of Liberal Arts & Social Sciences,New fin Fall 2023: Departments Anthropology & Geography merged.,2024,Full-Time Teaching Faculty (N),
College of Liberal Arts & Social Sciences — appointment. Numbers do not necessarily reflect the number of faculty lines.Fall,College of Liberal Arts & Social Sciences,appointment. Numbers do not necessarily reflect the number of faculty lines.Fall,2019,Full-Time Teaching Faculty (N),
College of Liberal Arts & Social Sciences — appointment. Numbers do not necessarily reflect the number of faculty lines.Fall,College of Liberal Arts & Social Sciences,appointment. Numbers do not necessarily reflect the number of faculty lines.Fall,2020,Full-Time Teaching Faculty (N),
College of Liberal Arts & Social Sciences — appointment. Numbers do not necessarily reflect the number of faculty lines.Fall,College of Liberal Arts & Social Sciences,appointment. Numbers do not necessarily reflect the number of faculty lines.Fall,2021,Full-Time Teaching Faculty (N),2020
College of Liberal Arts & Social Sciences — appointment. Numbers do not necessarily reflect the number of faculty lines.Fall,College of Liberal Arts & Social Sciences,appointment. Numbers do not necessarily reflect the number of faculty lines.Fall,2022,Full-Time Teaching Faculty (N),2019
