Group_Combined,Group,Subgroup,Year,Metric,Value
Grand Total — Total,Grand Total,Total,2008,Headcount (N),1637
Graduate Assistants — All,Graduate Assistants,All,2008,Graduate Assistants (N),79
Full-Time — Instructional Faculty,Full-Time,Instructional Faculty,2009,Headcount (N),433
Full-Time — Other,Full-Time,Other,2009,Headcount (N),522
Full-Time — Total,Full-Time,Total,2009,Headcount (N),955
Part-Time — Instructional Faculty,Part-Time,Instructional Faculty,2009,Headcount (N),491
Part-Time — Other,Part-Time,Other,2009,Headcount (N),168
Part-Time — Total,Part-Time,Total,2009,Headcount (N),659
Grand Total — Instructional Faculty,Grand Total,Instructional Faculty,2009,Headcount (N),924
Grand Total — Other,Grand Total,Other,2009,Headcount (N),690
Grand Total — Total,Grand Total,Total,2009,Headcount (N),1614
Graduate Assistants — All,Graduate Assistants,All,2009,Graduate Assistants (N),80
Full-Time — Instructional Faculty,Full-Time,Instructional Faculty,2010,Headcount (N),440
Full-Time — Other,Full-Time,Other,2010,Headcount (N),529
Full-Time — Total,Full-Time,Total,2010,Headcount (N),969
Part-Time — Instructional Faculty,Part-Time,Instructional Faculty,2010,Headcount (N),526
Part-Time — Other,Part-Time,Other,2010,Headcount (N),130
Part-Time — Total,Part-Time,Total,2010,Headcount (N),656
Grand Total — Instructional Faculty,Grand Total,Instructional Faculty,2010,Headcount (N),966
Grand Total — Other,Grand Total,Other,2010,Headcount (N),659
Grand Total — Total,Grand Total,Total,2010,Headcount (N),1625
Graduate Assistants — All,Graduate Assistants,All,2010,Graduate Assistants (N),69
Full-Time — Instructional Faculty,Full-Time,Instructional Faculty,2011,Headcount (N),440
Full-Time — Other,Full-Time,Other,2011,Headcount (N),530
Full-Time — Total,Full-Time,Total,2011,Headcount (N),970
Part-Time — Instructional Faculty,Part-Time,Instructional Faculty,2011,Headcount (N),528
Part-Time — Other,Part-Time,Other,2011,Headcount (N),139
Part-Time — Total,Part-Time,Total,2011,Headcount (N),667
Grand Total — Instructional Faculty,Grand Total,Instructional Faculty,2011,Headcount (N),968
Grand Total — Other,Grand Total,Other,2011,Headcount (N),669
Grand Total — Total,Grand Total,Total,2011,Headcount (N),1637
Graduate Assistants — All,Graduate Assistants,All,2011,Graduate Assistants (N),62
Full-Time — Instructional Faculty,Full-Time,Instructional Faculty,2012,Headcount (N),441
Full-Time — Other,Full-Time,Other,2012,Headcount (N),535
Full-Time — Total,Full-Time,Total,2012,Headcount (N),976
Part-Time — Instructional Faculty,Part-Time,Instructional Faculty,2012,Headcount (N),518
Part-Time — Other,Part-Time,Other,2012,Headcount (N),143
Part-Time — Total,Part-Time,Total,2012,Headcount (N),661
Grand Total — Instructional Faculty,Grand Total,Instructional Faculty,2012,Headcount (N),959
Grand Total — Other,Grand Total,Other,2012,Headcount (N),678
Grand Total — Total,Grand Total,Total,2012,Headcount (N),1637
Graduate Assistants — All,Graduate Assistants,All,2012,Graduate Assistants (N),84
Full-Time — Instructional Faculty,Full-Time,Instructional Faculty,2013,Headcount (N),434
Full-Time — Other,Full-Time,Other,2013,Headcount (N),521
Full-Time — Total,Full-Time,Total,2013,Headcount (N),955
Part-Time — Instructional Faculty,Part-Time,Instructional Faculty,2013,Headcount (N),482
Part-Time — Other,Part-Time,Other,2013,Headcount (N),138
Part-Time — Total,Part-Time,Total,2013,Headcount (N),620
Grand Total — Instructional Faculty,Grand Total,Instructional Faculty,2013,Headcount (N),916
Grand Total — Other,Grand Total,Other,2013,Headcount (N),659
Grand Total — Total,Grand Total,Total,2013,Headcount (N),1575
Graduate Assistants — All,Graduate Assistants,All,2013,Graduate Assistants (N),85
Full-Time — Instructional Faculty,Full-Time,Instructional Faculty,2014,Headcount (N),451
Full-Time — Other,Full-Time,Other,2014,Headcount (N),522
Full-Time — Total,Full-Time,Total,2014,Headcount (N),973
Part-Time — Instructional Faculty,Part-Time,Instructional Faculty,2014,Headcount (N),501
Part-Time — Other,Part-Time,Other,2014,Headcount (N),125
Part-Time — Total,Part-Time,Total,2014,Headcount (N),626
