,,,,,,,,,,,,,,,,,,,,,,,,,,Total All Students,,,,,,,,,Description,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Gender,,,,,,M,,,W,,,All,,,"In Spring 2025, the university enrolled 2,319 students overall, with women (W) outnumbering men (M). CLASS (College of Liberal Arts & Social Sciences) enrolled 703 students, SEST (School of Engineering, Science, & Technology) had 608, BS (School of Business) had 455, CHRS (College of Health & Rehabilitation Sciences) enrolled 293, and ED (School of Education) had 260. Degree codes include BA/BS (Bachelor of Arts/Science), MA/MS (Master of Arts/Science), MBA (Master of Business Administration), BGS (Bachelor of General Studies), ED.D (Doctor of Education), DNAP (Doctor of Nurse Anesthesia Practice), GRADCERT/OCP (Graduate or Post-BA Certificate), and SYC/PM CERT (Sixth Year/Post-Master’s Certificate).",,,,,,,,,,,,
School,,Program Name,,,Degree_,,,,,,Degreecde,,,,,,OHEcde,,,Cip2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
BS,,Business Analytics,,,Post-BA-Cert,,,,,,OCP,,,,,,22039,,,307102,,,,,,,,,2,,,2,,,,,,,,,,,,,,,
BS,,Business Leadership,,,Post-BA-Cert,,,,,,OCP,,,,,,19978,,,520213,,,,,,10,,,9,,,19,,,,,,,,,,,,,,,
BS,,Commercial Lending,,,Post-BA-Cert,,,,,,OCP,,,,,,20237,,,520809,,,,,,1,,,,,,1,,,,,,,,,,,,,,,
BS,,Finance,,,Bachelors,,,,,,BS,,,,,,02650,,,520801,,,,,,65,,,13,,,78,,,,,,,,,,,,,,,
BS,,General Studies,,,Bachelors,,,,,,BGS,,,,,,20405,,,240102,,,,,,2,,,4,,,6,,,,,,,,,,,,,,,
BS,,Management,,,Bachelors,,,,,,BS,,,,,,00037,,,520201,,,,,,42,,,34,,,76,,,,,,,,,,,,,,,
BS,,Management Information Systems,,,Bachelors,,,,,,BS,,,,,,02380,,,110401,,,,,,24,,,13,,,37,,,,,,,,,,,,,,,
BS,,Marketing,,,Bachelors,,,,,,BS,,,,,,00039,,,521401,,,,,,34,,,21,,,55,,,,,,,,,,,,,,,
BS,,Project Management,,,Cert-Below Bachelors,,,,,,BS,,,,,,22272,,,111005,,,,,,1,,,1,,,2,,,,,,,,,,,,,,,
BS,,Total,,,Total,,,,,,Total,,,,,,Total,,,Total,,,,,,284,,,171,,,455,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Total All Students,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Gender,,,,,,M,,,W,,,All,,,,,,,,,,,,,,,
School,,Program Name,,,Degree_,,,,,,Degreecde,,,,,,OHEcde,,,Cip2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
ED,,Early Childhood and Infant/Toddler Mental Health,,,Bachelors,,,,,,BS,,,,,,19028,,,131210,,,,,,,,,14,,,14,,,,,,,,,,,,,,,
ED,,Educational Leadership,,,Doctoral,,,,,,ED.D,,,,,,09981,,,130401,,,,,,3,,,16,,,19,,,,,,,,,,,,,,,
ED,,Educational Leadership,,,Post-MA-Cert,,,,,,SYC,,,,,,02597,,,130401,,,,,,20,,,72,,,92,,,,,,,,,,,,,,,
ED,,Educational Technology,,,Master's,,,,,,MS,,,,,,00045,,,130501,,,,,,2,,,6,,,8,,,,,,,,,,,,,,,
ED,,Elementary Education,,,Bachelors,,,,,,BS_Teach,,,,,,00050,,,131202,,,,,,5,,,41,,,46,,,,,,,,,,,,,,,
ED,,Elementary Education,,,Post-BA-Cert,,,,,,GRADCERT,,,,,,10181,,,131202,,,,,,1,,,1,,,2,,,,,,,,,,,,,,,
ED,,General Studies,,,Bachelors,,,,,,BGS,,,,,,20405,,,240102,,,,,,1,,,4,,,5,,,,,,,,,,,,,,,
ED,,Reading and Language Arts,,,Master's,,,,,,MS,,,,,,00066,,,131315,,,,,,,,,18,,,18,,,,,,,,,,,,,,,
ED,,Reading and Language Arts,,,Post-MA-Cert,,,,,,SYC,,,,,,00067,,,131315,,,,,,3,,,11,,,14,,,,,,,,,,,,,,,
ED,,Special Education,,,Master's,,,,,,MS,,,,,,00048,,,131001,,,,,,8,,,23,,,31,,,,,,,,,,,,,,,
ED,,Superintendent of Schools,,,Post-MA-Cert,,,,,,PM CERT,,,,,,14633,,,130411,,,,,,,,,1,,,1,,,,,,,,,,,,,,,
ED,,Teacher Education,,,Master's,,,,,,MAT,,,,,,14255,,,130101,,,,,,1,,,,,,1,,,,,,,,,,,,,,,
ED,,Teacher Leadership,,,Master's,,,,,,MS,,,,,,05642,,,130401,,,,,,2,,,7,,,9,,,,,,,,,,,,,,,
ED,,Total,,,Total,,,,,,Total,,,,,,Total,,,Total,,,,,,46,,,214,,,260,,,,,,,,,,,,,,,
CHRS,,Athletic Training,,,Master's,,,,,,MS,,,,,,19546,,,510913,,,,,,1,,,2,,,3,,,,,,,,,,,,,,,
CHRS,,Counselor Education,,,Master's,,,,,,MS,,,,,,00049,,,131101,,,,,,13,,,31,,,44,,,,,,,,,,,,,,,
CHRS,,Dance Education,,,Bachelors,,,,,,BS,,,,,,18177,,,131324,,,,,,,,,3,,,3,,,,,,,,,,,,,,,
CHRS,,Dance Education,,,Bachelors,,,,,,BS_Teach,,,,,,18177,,,131324,,,,,,,,,3,,,3,,,,,,,,,,,,,,,
CHRS,,Exercise Science,,,Bachelors,,,,,,BS,,,,,,17363,,,310505,,,,,,21,,,16,,,37,,,,,,,,,,,,,,,
CHRS,,General Studies,,,Bachelors,,,,,,BGS,,,,,,20405,,,240102,,,,,,2,,,,,,2,,,,,,,,,,,,,,,
CHRS,,Marriage & Family Therapy,,,Master's,,,,,,MS,,,,,,06159,,,511505,,,,,,4,,,10,,,14,,,,,,,,,,,,,,,
CHRS,,Nurse Anesthesia Practice,,,Doctoral,,,,,,DNAP,,,,,,18266,,,513804,,,,,,10,,,22,,,32,,,,,,,,,,,,,,,
CHRS,,Nursing,,,Bachelors,,,,,,BSN,,,,,,14729,,,513801,,,,,,11,,,38,,,49,,,,,,,,,,,,,,,
CHRS,,Nursing (RN to BSN),,,Bachelors,,,,,,BSN,,,,,,00078,,,513801,,,,,,1,,,12,,,13,,,,,,,,,,,,,,,
CHRS,,Nursing: Hospice and Palliative Care,,,Master's,,,,,,MSN,,,,,,19027,,,513818,,,,,,1,,,4,,,5,,,,,,,,,,,,,,,
CHRS,,Physical Education,,,Bachelors,,,,,,BS_Teach,,,,,,00064,,,131314,,,,,,11,,,3,,,14,,,,,,,,,,,,,,,
CHRS,,Physical Education,,,Master's,,,,,,MS,,,,,,00065,,,131314,,,,,,7,,,5,,,12,,,,,,,,,,,,,,,
CHRS,,Physical Education,,,Post-BA-Cert,,,,,,GRADCERT,,,,,,10178,,,131314,,,,,,2,,,2,,,4,,,,,,,,,,,,,,,
CHRS,,Professional Counseling,,,Post-MA-Cert,,,,,,PM CERT,,,,,,14631,,,422803,,,,,,1,,,13,,,14,,,,,,,,,,,,,,,
CHRS,,Social Work,,,Bachelors,,,,,,BA,,,,,,02556,,,440701,,,,,,4,,,30,,,34,,,,,,,,,,,,,,,
CHRS,,Social Work,,,Master's,,,,,,MSW,,,,,,22267,,,511503,,,,,,3,,,7,,,10,,,,,,,,,,,,,,,
CHRS,,Total,,,Total,,,,,,Total,,,,,,Total,,,Total,,,,,,92,,,201,,,293,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Total All Students,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Gender,,,,,,M,,,W,,,All,,,,,,,,,,,,,,,
School,,Program Name,,,Degree_,,,,,,Degreecde,,,,,,OHEcde,,,Cip2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEST,,Biochemistry,,,Bachelors,,,,,,BS,,,,,,13670,,,260202,,,,,,2,,,,,,2,,,,,,,,,,,,,,,
SEST,,Biological Sciences,,,Master's,,,,,,MA,,,,,,00083,,,260101,,,,,,1,,,4,,,5,,,,,,,,,,,,,,,
SEST,,Biological Sciences,,,Master's,,,,,,MS,,,,,,00083,,,260101,,,,,,1,,,6,,,7,,,,,,,,,,,,,,,
SEST,,Biology,,,Bachelors,,,,,,BS,,,,,,00082,,,260101,,,,,,17,,,36,,,53,,,,,,,,,,,,,,,
SEST,,Biomolecular Sciences,,,Bachelors,,,,,,BS,,,,,,13445,,,260204,,,,,,8,,,11,,,19,,,,,,,,,,,,,,,
SEST,,Biomolecular Sciences,,,Master's,,,,,,MS,,,,,,13446,,,260204,,,,,,7,,,10,,,17,,,,,,,,,,,,,,,
SEST,,Chemistry,,,Bachelors,,,,,,BS,,,,,,00090,,,400501,,,,,,3,,,1,,,4,,,,,,,,,,,,,,,
SEST,,Chemistry,,,Bachelors,,,,,,BS_Teach,,,,,,00090,,,400501,,,,,,1,,,,,,1,,,,,,,,,,,,,,,
SEST,,Civil Engineering,,,Bachelors,,,,,,BS,,,,,,15032,,,140801,,,,,,13,,,3,,,16,,,,,,,,,,,,,,,
SEST,,Computer Engineering Technology,,,Bachelors,,,,,,BS,,,,,,13269,,,151201,,,,,,7,,,4,,,11,,,,,,,,,,,,,,,
SEST,,Computer Information Technology,,,Master's,,,,,,MS,,,,,,06901,,,110103,,,,,,8,,,2,,,10,,,,,,,,,,,,,,,
SEST,,Computer Science,,,Bachelors,,,,,,BA,,,,,,22357,,,110101,,,,,,4,,,,,,4,,,,,,,,,,,,,,,
SEST,,Computer Science,,,Bachelors,,,,,,BS,,,,,,00043,,,110101,,,,,,75,,,18,,,93,,,,,,,,,,,,,,,
SEST,,Construction Management,,,Bachelors,,,,,,BS,,,,,,10186,,,522001,,,,,,31,,,5,,,36,,,,,,,,,,,,,,,
SEST,,Construction Management,,,Master's,,,,,,MS,,,,,,14421,,,522001,,,,,,8,,,2,,,10,,,,,,,,,,,,,,,
SEST,,Construction Management,,,Post-BA-Cert,,,,,,OCP,,,,,,14628,,,522001,,,,,,3,,,,,,3,,,,,,,,,,,,,,,
