,,,,,,Year,2020-21,2021-22,2022-23,2023-24,2024-25,,,Description,,,,,,,,,,,,,,,,
CLASS,International Studies,European Studies,Bachelors,BA,02693,302001,,2,1,1,1,,,,,,,,,,,,,,,,,,,
CLASS,International Studies,Global Studies,Bachelors,BA,02693,302001,3,4,3,,3,,,,,,,,,,,,,,,,,,,
CLASS,International Studies,Latin American Studies,Bachelors,BA,02693,302001,1,,1,,2,,,,,,,,,,,,,,,,,,,
CLASS,International Studies,Total,Total,Total,Total,Total,10,13,17,6,15,,,,,,,,,,,,,,,,,,,
CLASS,Italian,,Bachelors,BA,00075,160902,,2,1,,,,,,,,,,,,,,,,,,,,,
CLASS,Italian,,Bachelors,BS_Teach,00075,160902,,1,,,1,,,,,,,,,,,,,,,,,,,
CLASS,Italian,Total,Total,Total,Total,Total,,3,1,,1,,,,,,,,,,,,,,,,,,,
CLASS,Journalism,,Bachelors,BA,15031,090401,7,9,1,,2,,,,,,,,,,,,,,,,,,,
CLASS,Journalism,Broadcast Sequence,Bachelors,BA,15031,090401,1,3,4,5,2,,,,,,,,,,,,,,,,,,,
CLASS,Journalism,Print/Digital Sequence,Bachelors,BA,15031,090401,1,,5,1,3,,,,,,,,,,,,,,,,,,,
CLASS,Journalism,Sports Sequence,Bachelors,BA,15031,090401,4,1,1,3,2,,,,,,,,,,,,,,,,,,,
CLASS,Journalism,Total,Total,Total,Total,Total,13,13,11,9,9,,,,,,,,,,,,,,,,,,,
CLASS,Media Studies,Digital Filmkng & Telvsn Prodc,Bachelors,BA,18099,090102,14,11,20,18,12,,,,,,,,,,,,,,,,,,,
CLASS,Media Studies,Media Analysis,Bachelors,BA,18099,090102,4,8,1,6,5,,,,,,,,,,,,,,,,,,,
CLASS,Media Studies,Multimedia Prodctn & New Techn,Bachelors,BA,18099,090102,12,7,7,2,3,,,,,,,,,,,,,,,,,,,
CLASS,Media Studies,Total,Total,Total,Total,Total,30,26,28,26,20,,,,,,,,,,,,,,,,,,,
CLASS,Modern Languages,,Master's,MA,00074,160101,,,,4,,,,,,,,,,,,,,,,,,,,
CLASS,Modern Languages,,Master's,MA,18263,160101,8,4,4,,,,,,,,,,,,,,,,,,,,,
CLASS,Modern Languages,Total,Total,Total,Total,Total,8,4,4,4,,,,,,,,,,,,,,,,,,,,
CLASS,Music,,Bachelors,BA,02608,500901,,1,,,,,,,,,,,,,,,,,,,,,,
CLASS,Music,Flexible Music,Bachelors,BA,02608,500901,,,,,4,,,,,,,,,,,,,,,,,,,
CLASS,Music,General Studies,Bachelors,BA,02608,500901,1,1,,1,1,,,,,,,,,,,,,,,,,,,
CLASS,Music,Performance,Bachelors,BA,02608,500901,1,1,1,,,,,,,,,,,,,,,,,,,,,
CLASS,Music,Theory & Composition,Bachelors,BA,02608,500901,,,1,1,,,,,,,,,,,,,,,,,,,,
CLASS,Music,Total,Total,Total,Total,Total,2,3,2,2,5,,,,,,,,,,,,,,,,,,,
CLASS,Music Education,,Bachelors,BS_Teach,00062,131312,7,5,5,5,2,,,,,,,,,,,,,,,,,,,
CLASS,Music Education,,Master's,MS,00063,131312,3,4,2,5,2,,,,,,,,,,,,,,,,,,,
CLASS,Music Education,,Post-BA-Cert,GRADCERT,10174,131312,,,1,,1,,,,,,,,,,,,,,,,,,,
CLASS,Music Education,Total,Total,Total,Total,Total,10,9,8,10,5,,,,,,,,,,,,,,,,,,,
CLASS,Philosophy,,Bachelors,BA,00088,380101,5,4,3,,3,,,,,,,,,,,,,,,,,,,
